title,price,sqm,rooms,postcode
dachgeschoss: großzügige 2 zimmer nähe schottenring in 1010 wien zu mieten,1468.42,82,2,1010
helle 2 zimmer-wohnung (nb) in der lorystraße,665.05,45,2,1110
freifläche - lichtdurchflutet - stauraum,790.7,56,2,1110
unbefristet - freifläche - wohntraum,793.3299999999999,56,2,1110
schöne wohnung 3 zimmer,600,89,3,1030
2 zimmer mit freifläche auf beiden seiten!,956.42,50,2,1230
neu! ++top renovierte altbauwohnung in wunderschönem historischen zinshaus nähe landstrasser hauptstrasse miete in 1030 wien++,3992.69,223,6,1030
neu! ++ top renovierte wohnung mit klopfbalkon in perfekter zentrumslage nahe stephansplatz miete in 1010 wien++,2851.84,155,4,1010
schlosspark hetzendorf| 108 m wohnung | 2 zimmer | wohnküche und dachzimmer mit klimaanlage |,1199.77,109,3,1120
+ 2 zimmer + möbliert + top saniert,899,51,2,1160
"klassische altbau wohnung 4,5 zimmer büro/atelier möglich!",1380,145,4,1030
all inklusive: kurzzeitmiete: *** apartment mit panoramaweitblick ***,1200,50,1,1220
familien wohnung mit 4 zimmer,980,108,3,1030
ideale kleine 2 zimmer neubauwohnung - tolle aufteilung - gleich bei u4 friedensbrücke !!,699,38,2,1200
ruhiger 50m altbau mit 2 zimmern und lift - 1070 wien,542.3399999999999,50,2,1070
musik-universität: sonniger altbau-erstbezug mit 3 getrennt begehbaren zimmern,1490.23,114,3,1030
unbefristete 47m eg-wohnung mit 2 zimmern nähe reumannplatz - 1100 wien,530.61,47,2,1100
unbefristeter 51m altbau mit einbauküche in ruhelage - 1150 wien,695,51,2,1150
sonnige hofruhelage im 9. stock (dachgeschoss mit fernblick/loggia) | zellmann immobilien,914.2900000000001,50,1,1190
dachgeschoß loft mit 51 m2 zu vermieten! nähe u3 karl-nagl-platz!,949.5,51,2,1030
"dachgeschoß, neubau, eine wohnküche/schlafzimmer + balkon",600,36,1,1100
"duplex wohnung, großzügig zentral 4 zimmer + terrasse",3100,183,4,1020
schicke dachwohnung mit terrasse und loggia in revitalisiertem stilatlbau!,869.21,46,2,1140
sonnige 2-zimmer wohnung mit balkon nähe u1! - schleiergasse 2,780,46,2,1100
die drei bellas in der billrothstrasse,968.7,70,2,1190
3-zimmer wohnung mit loggia in der wohnhausanlage schleiergasse,990,68,3,1100
sonnige dg-wohnung mit terrasse!,888,42,2,1140
"helle 2-zimmer wohnung, nähe währinger schubertpark",712.49,46,2,1180
leben sie lieber außergewöhnlich! einzigartige 3-zimmer-wohnung mit großartigem fernblick im 8. liftstock im gasometer b,999,90,3,1110
kolonitzplaz im dritten: vierzimmer-wohnung in ruhelage hetzgasse 20 - top 30,1399.07,97,4,1030
votivkirche.universitäten.hell.neue heizung,1376.51,74,3,1010
"helle einraumwohnung im dachgeschoß, nähe neuwaldegger-bad",606.62,33,1,1170
die perfekt singlewohnung - einraumwohnung mit balkon und grünblick in neuwaldegg!,671.4499999999999,37,1,1170
singelwohnung inkl. freifläche und blick ins grüne!,684.23,34,1,1170
"drei zimmer-wohnung, nähe hütteldorfer straße",988.5,91,3,1150
schöne lichtdurchflutete wohnung mit blick ins grüne!,850,62,2,1120
die drei bellas in der billrothstrasse,709.48,56,2,1190
singlehit im 4. bezirk!,608.4499999999999,35,1,1040
3 zi-wohnung in der tivoligasse- unbefristet,985.53,83,3,1120
"***neu*** premium 2-zimmer neubauwohnung, tolle ausstattung! luftwärmepumpe!",749.2800000000001,53,2,1100
erstbezug 2 zimmer mit gartenparzelle in hietzing,883.6700000000001,55,2,1130
charmante und helle wohnung im cottageviertel mit loggia,1499,106,3,1190
stephansplatz /// luxury apartment finished to highest standards /// luxuriöser erstbezug,3250,125,4,1010
erstbezug stilaltbau nähe stephansplatz,3250,125,3,1010
sonnendurchflutete 3-zimmer-wohnung in bestlage! kurzzeitvermietung!,1100,65,3,1150
infrastruktur / entfernungen gesundheit arzt <7,514.4499999999999,23,1,1150
charmante 1-zimmer-wohnung!,530.9499999999999,23,1,1150
2 zimmer altbauwohnung - unbefristet - 61m2!,812.65,61,2,1190
1 zimmer wohnung mit großzügigen wohnraum,691.31,42,1,1090
wunderschöne 2 zimmerwohnung im dachgeschoss,903.73,50,2,1210
unbefristete 3-zimmer wohnung in unmittelbarer nähe zum stephansplatz - zu mieten in 1010 wien,3250.01,125,3,1010
erstbezug in floridsdorfer ruhelage - beste wohnqualität kombiniert mit perfekter anbindung!!,1189.1899999999998,80,3,1210
entzückende südseitige wohnung in u6 nähe - 1230 wien zu mieten!,672.47,41,1,1230
perfekt aufgeteilte 2 zimmerwohnung im 20. bezirk - nähe u6 dresdner straße,592.38,46,2,1200
angenehme dg-maisonette mit loggia nahe zum bh meidling,1199.98,104,3,1120
geräumige 2 zimmer-dachgeschoßwohnung bei klinik favoriten,699.7800000000001,68,2,1100
singlehit! zwei zimmer wohnung in der liniengasse,699.92,43,2,1060
"single-dg-wohnung im 7.ten inkl. heizung + ww um 799,89",649.55,45,1,1070
gut-aufgeteilte 3-zimmer wohnung nahe zur klinik favoriten 2er wg-eignung!,899.26,88,3,1100
gut-aufgeteilte 2-zimmer wohnung im 10. bezirk,727.2700000000001,71,2,1100
tolle zwei zimmer wohnung inkl. moderner einbauküche und loggia,779,41,2,1030
moderne zwei zimmer wohnung inkl. moderner einbauküche,799,45,2,1030
sehr gut geschnittene zwei zimmer wohnung inkl. moderner einbauküche,799.01,53,2,1030
"moderner luxus, einzigartige dachterrassenwohnung! traumhafter blick, große terrasse!",4998,273,4,1080
entzückende mietwohnung in zentraler lage hütteldorf,590,34,1,1140
bestlage in nußdorf! sonnige 2-zimmer-wohnung mit balkon ohne lift in stockwerks- und ruhelage,828.58,50,2,1190
provisionsfrei - erstbezugswohnung perfekt für familien mit einer terrasse - nähe stammersdorf,970,57,3,1210
erstbezug - familienwohnung in ruhiger lage - nähe badeteich süßenbrunn,989.99,60,3,1210
provisionsfrei - familienwohnung in ruhiger lage - erstbezug - nähe badeteich süßenbrunn,1270,79,3,1210
erstbezug - familienwohnung mit freifläche - nähe millenium city,1499,78,3,1200
neubau - gartenwohnung mit perfektem grundriss - für familien geeignet - nähe millenium city,1199,68,3,1200
neubauprojekt - 2-zimmer-gartenwohnung - u6 dresdner straße,749,42,2,1200
entzückende wohnung in ruhiger lage - u3 hütteldorfer straße,931.71,63,2,1140
"helle, freundliche zwei-zimmer-wohnung im 4. liftstock",850,65,2,1160
"schöner grünblick - helle 3,5-zimmer-familienwohnung mit großer loggia",1490,132,3,1130
lichtdurchflutete 4-zimmer-dg-wohnung mit sauna und terrasse,2600,145,NA,1030
unbefristet /// vier zimmer /// wunderbares wohngefühl,882,78,4,1100
erstbezug | hochwertige wohnungen mit freifläche zu mieten!,699,44,2,1200
helle 3-zimmer-wohnung mit balkon / am tabor,1190,90,3,1020
"altbauwohnung mit 1 zimmer im obersteten geschoss | 4. stock, kein lift | nahe hauptbahnhof / fuzo favoritenstraße | u1",465.14000000000004,49,1,1100
helle 2-zimmer-wohnung mit loggia,740,49,2,1100
premiumobjekt am see - schöne wohnung mit loggia - provisionsfrei,816.1800000000001,59,2,1220
eislaufen am see? ab dezember verfügbar! - perfekte infrastruktur und viele angebote im haus!,844.66,58,2,1220
weihnachten in der neuen wohnung? sie und ihre lieben werden begeistert sein!,1327.99,81,3,1220
2-zimmer-maisonette-wohnung kahlenbergerstraße 1g - top 7,977.9,74,2,1190
hübscher balkon neubau - 3 zimmer,1350,65,3,1090
thaliastraße | 1-zimmer neubauwohnung mit loggia und fußbodenheizung (li2-6107),642.6,45,1,1160
schöne 2-zimmer wohnung mit garage!,1200,60,2,1090
helle 2-zimmer dachgeschosswohnung,944.73,63,2,1050
"unbefristet! provisionsfrei! wunderschöne, helle 3 zimmerwohnung mit balkon! provisionsfrei!",1111.57,75,3,1100
17.weißgasse charmante neubau-dachterrassenmiete mit fernblick in parhamerplatz nähe,590,33,1,1170
10.erlachgasse tichy nähe - unmöblierte schmucke neubaumiete mit gartennutzung (garagenplatz möglich),535,30,1,1100
4. theresianumgasse 2-zimmer neubaumiete direkt beim belvedere,1298,80,2,1040
vollmöbliertes apartment in zentraler lage!,1650,97,3,1040
helle 1-zimmer-wohnung im herzen wiens! unbefristet!,458.13,35,1,1050
top-saniertes 2-zimmer-apartment in beste city-lage,1145,52,2,1010
wunderschöner romantischer altbau nähe schloss schönbrunn,1233.5,110,3,1120
wunderschöner altbau nähe schloss schönbrunn,1175.92,104,3,1120
4-zimmer wohntraum in hietzing,1969.25,142,4,1130
stil & terrasse - kleine wohnhausanlage,830,50,2,1210
exklusive dg-wohnung mit blick auf wien,1848,89,3,1040
möblierte 3-zimmerwohnung saniert,628,54,3,1100
schöne neubauwohnung im 5. bezirk zu vermieten + balkon,1133.9,51,2,1050
kleinwohnung all inklusive in ruhelage,830,35,1,1180
schöne renovierte garconniere nähe schönbrunn -,525,42,1,1150
möblierter singlehit in ausgezeichneter lage und optimaler verkehrsanbindung,460,18,1,1150
neubauhauptmiete nähe reinprechtsdorferstraße!!!,650,47,2,1050
grosszügige altbau-garconniere nähe augarten! erdgeschoss!,523.62,44,1,1020
wohnung mit loggia beim hauptbahnhof !,1390,73,3,1100
helle 3 zimmer wohnung nähe praterstern!,990,96,3,1020
erstbezug - sanierte altbauwohnung unbefristet zu vermieten - hinter der karlskirche,1660.01,105,3,1040
"schöne lage, optimale aufteilung, gute verkehrsanbindung!",698.8,44,2,1180
traumhafte 2-zimmer-wohnung mit loggia in den innenhof!,811.69,50,2,1190
perfekt aufgeteilte 2-zimmer-wohnung inkl. balkon in margareten!,916.21,47,2,1050
3. stock - balkon - beste anbindung,869.88,43,2,1160
pötzleinsdorf! ruhige 3-zimmer pauschalmiete!,1150,86,3,1180
"wohnen mit balkon in gersthofer cottagelage! möbel auf wunsch im preis inkludiert, ansonsten gerne auch unmöbliert!",995,70,3,1180
nähe u4 margaretengürtel - 2 zimmer neubau im 5. stock (ohne lift),550,55,2,1120
"renovierte dachgeschosswohnung, luxuriös ausgestattet!",1637.91,80,3,1010
unbefristet | neubau | albrechtskreithgasse,811.2,53,2,1160
*****sonnige terrassenwohnung - super ausstattung*****,1779.03,82,3,1180
wohnen wie im einfamilienhaus mit garten!,1650,120,4,1100
wohnen beim raimundtheater: großzügige 2-zimmer-wohnung in der wallgasse 15 (nähe u6/u4) ~ ab sofort beziehbar!,999.99,59,2,1060
großzügige 2-zimmerwohnung im herzen wiens,1400,75,2,1010
großzügige 3-zimmerwohnung in der pramergasse,1400,123,3,1090
czeikestraße- traumhafte 2-zimmer neubauwohnung mit balkon,815.01,57,2,1230
provisionsfrei: heller 2-zimmer-altbau mit separater küche,978.58,84,2,1170
zentrale 3 zimmer wohnung | zellmann immobilien,798,71,3,1120
dachgeschosswohnungshit mit balkon im arsenal!,1890,102,4,1030
provisionsfrei- grünruhelage mit fernblick,870,54,2,1210
"provisionsfrei! aussichtswohnung mit deckenkühlung, loggia sonnenschutzverglast, supermarkt im haus, direkte u-bahn anbindung!",865.6,53,2,1150
u3 - wg zimmer all incl. - provisionsfrei,415,9,NA,1030
"sehr ruhige zentrale altbauwohnung, beste infrastruktur, 48a,46a,12a,9, innenstadtverbindung,schmelz",698,63,3,1160
wohnkomfort in grünruhelage nahe dem hauptbahnhof,1600,141,4,1030
"wunderschöne, großzügige 4 zimmer altbauwohnung",2450,194,NA,1030
finden sie ihre perfekte startwohnung als paar,870,52,2,1140
top renovierte 2-zimmer wohnung mit gartennutzung,1066,67,2,1190
repräsentative 3 zimmer-altwohnung in zentraler lage,1115,86,3,1070
3 zi mit balkon in salmannsdorf,1100,85,3,1190
"2-zimmer wohnung mit balkon, wohnen im triiiple living!",1200,57,2,1030
sonnige und helle 3-zimmer neubau-wohnung mit loggia!,967,70,3,1100
moderne wohnung mit freifläche bei der millenium city,795,50,2,1200
"kurzzeitvermietung! möblierte, wunderschöne 2-zimmer-wohnung!",900,61,2,1150
"2 minuten zur u3, ruhige, helle unbefristete wohnung, 4. liftstock, sicheres haus, innenhoflage,",518.05,27,1,1110
"43m2 - 830€ all in zwischenmiete 1-6 monate+ neben u4 pilgramgasse, ruhig, altbau, provisionsfrei",830,43,2,1050
unbefristet /// schöne altbauwohnung /// hell & grosszügig,833.54,78,3,1100
nette 3-zimmer-wohnung in ruhelage,976.57,90,3,1230
sanierte garconniere nähe hugo wolf park-boku nähe,600,37,1,1190
sanierte wohnung nähe hugo wolf park,1060.44,65,2,1190
2-zimmer in toplage nähe hütteldorfer straße u3,790,64,2,1140
klassische altbauwohnung mit schönen details /// 2 oder 3 zimmer möglich /// sehr schöne lage beim liechtensteinpark,1547.6299999999999,92,2,1090
spannende dg-maisonette im prachtvollen stilaltbau mit dachterrasse!,2000,148,4,1180
super singlewohnung - direkt bei der u1,497.95,43,2,1100
mini-loft nähe hofzeile und hohe warte!,595.06,49,1,1190
"exklusive 6-zimmer wohnung, nähe schwarzenbergplatz",3800.01,178,6,1040
provisionsfreier terrassentraum in zentrumsnaher grünlage,700,45,2,1020
unbefristeter 34m altbau mit einbauküche im erdgeschoß - 1070 wien,598.99,34,1,1070
"superschön und mit loggia nahe ""am spitz""!",789,66,2,1210
"u3 johnstraße - 2 zimmer altbau, unbefristet",599.54,51,2,1150
"exklusives 2,5 zimmer-penthaus mit terrasse und traumblick, heizkosten inkludiert",1744.09,102,2,1130
singlehit mit perfekter raumaufteilung,742.43,39,2,1120
top 2 zimmer süd-balkonwohnung in grünlage,790,41,2,1230
2 zimmerwohnung nähe neubaugasse! döblergasse 1-3/3/30,844.69,59,2,1070
klassische altbauwohnung mit balkon mitten im 13.bezirk,1296.24,100,3,1130
"klassischer altbau, nähe judenplatz - unbefristet zu mieten",1215.84,72,2,1010
große küche und balkon!,699.99,38,2,1100
""" fussball live im viola park!""",1699,104,4,1100
ruhelage - maisonettewohnung mit zwei terrasse im herzen des 7. bezirkes,1699.84,98,3,1070
top sanierte 2-zimmer-wohnung zentral gelegen bei der hütteldorfer straße,830,67,2,1140
top sanierte 2-zimmer-wohnung zentral gelegen bei der hütteldorfer straße,830,67,2,1140
beim riverside - mit loggia und blick ins grüne,910,73,3,1230
kompakte 1-zimmer-wohnung mit parkblick im 14. bezirk zu vermieten!,490,27,1,1140
360-tour // 1 min. zur u-bahn // 3 zimmer altbau-erstbezug nach komplettsanierung,899,64,3,1100
top 2 zimmerwohnung in zentraler lage,730,47,2,1150
unbefristete mietwohnung im 13. bezirk,919.3,77,3,1130
familienwohnglück in stammersdorf,949.7900000000001,89,3,1210
großzügige 3 zimmerwohnung in hernals,1249,74,3,1170
"""miete alles inklusive -- donauzentrum vor der türe""",740,36,1,1220
sonnendurchflutete 2 zimmerwohnung mit südseitigem balkon! zentrale pelletsheizung!,839.7,49,2,1210
"unbefristet! helles dg mit klima, getrennt begehbar, ideal auch als 3er-wg",940,62,3,1050
"tolle aufteilung /// u3 /// akkonplatz /// schmelz - sehr schöne, sonnige altbauwohnung",734.4599999999999,52,2,1150
die donau zum greifen nahe: 2 zimmer mit südwestlicher loggia und fitness und sauna im haus!,1250,51,2,1220
gemütliche 1-zimmer-wohnung mit kellerabteil!,519.9499999999999,23,1,1150
1060 wien - top 2 zimmer wohnung im herzen wiens,1035,56,2,1060
"wohnen in super lage im 18.,",1353,110,3,1180
gartenwohnung mit südost-terrasse (provisionsfrei),870,47,2,1190
tolle stadtwohnung mit balkon ins grüne,807.2,53,2,1100
"""2 zimmer, mitten im 10.!""",550,33,2,1100
generalsanierte altbauwohnung mit 2 zimmern nahe naschmarkt / karlsplatz (u1 / u2 / u4) | unbefristet,682.42,42,2,1060
wunderschöne dachgeschoßwohnung in der silbergasse - unbefristete miete,1250,106,2,1190
renovierte 5 zimmer altbaumiete nähe lyc e francais & palais liechtenstein,2574.11,166,5,1090
"1220 kagran helle zentrale 2 zimmer, balkon, komplettküche, ruhelage",790,53,2,1220
4 zimmer + dachterrasse!,1787,114,4,1100
"*jetzt 1 monat gratis miete sichern* hochwertiger* erstbezug* d* balkon 7,21m * top küche* 2-zimmer* zentrale lage* tiefgarage*",809.5,47,2,1210
"*jetzt 1 monat gratis miete sichern* erstbezug* hochwertig* d* balkon 7,21m * top küche* 2-zimmer* zentrale lage* tiefgarage*",798.49,47,2,1210
helle 2 zimmer | hofruhelage | getrennte küche,675,54,2,1160
2-zimmer wohnung | plus wohnküche | nähe keplerplatz,695,73,2,1100
+ loggia + 5. stock + niedrigenergiehaus + kein maklerhonorar + im erstbezug + nähe theresa-tauscher-park + richtung nord-osten + 10 jahre mietdauer + drei-zimmer + neubau wohnung,1175,75,3,1210
+ gute anbindung + mit freiflaeche + erstbezug nach der sanierung,899.89,67,3,1100
+ zwei-zimmer + perfekte stadtwohnung + erstbezug nach sanierung,1050,48,2,1010
+ alles neu + generalsaniert + zweizimmerwohnung in margareten + erstbezug,750.01,60,2,1050
+ 19. bezirk + 2 zimmer + grünlage + balkon,1293,75,2,1190
+ in u-bahn nähe + komplett adaptiert + sanierte zweizimmerwohnung + im erstbezug,892.02,65,NA,1120
+ absolute ruhelage + erstbezug nach generalsanierung + zwei west-balkone + inklusive stellplatz im freien + lichtdurchflutete 4-zimmer wohnung + grünblick,1670.8899999999999,128,4,1170
+ nahe u2 + hochwertiger neubau + loft + 11.stock + 1-zimmer + freiflaeche + richtung westen,876.7800000000001,57,1,1220
+ loft + top anbindung + u2 + balkon + 11.stock + seestadt + ein-zimmer,876.7800000000001,57,1,1220
+ niedrigenergiehaus + erstbezug + in absoluter toplage + nähe theresa-tauscher-park + provisionsfrei + 2 zimmer + mit aussenfläche + 3. stock + richtung süd-ost,929,64,2,1210
"praxisräume für therapeuten, coaches etc. - mietwohnung 1140 wien",1465.45,76,3,1140
florido yards: attraktive 2-zimmer wohnung in 1210 wien provisionsfrei zu mieten,741.13,56,2,1210
florido yards: hofseitige 2-zimmer wohnung mit balkon in 1210 wien provisionsfrei zu mieten,839.58,48,3,1210
provisionsfrei - exklusive 2-zimmer neubauwohnung - grünblick - wohnen in brigittenau - gemeinschaftsterrasse - nähe u6/u4,749.38,50,2,1200
wunderbare wohnung in toller lage **sofort verfügbar**,899.8499999999999,62,2,1210
äußerst gepflegte wohnung **sofort verfügbar**,645.03,36,1,1140
klimatisierte 4-zimmer-dachgeschosswohnung mit terrasse nahe der votivkirche,2635.3700000000003,139,4,1090
helle neubauwohnung in top lage,1033.9,56,2,1060
luxuriöse dachgeschoss wohnung (126m ),2498,127,4,1060
neubau 3 zimmerwohnung mit loggia,1199.82,75,3,1140
wohnen im triiiple - 29.stock!,1064.08,48,2,1030
"gemütliches penthouse: terrasse, kamin, wintergarten hietzinger bestlage",1590,134,4,1130
"wunderschöner, hofseitiger eigengarten!",635.64,44,1,1020
*traumhafte 2-zimmer-wohnung an der alten donau* *sofort verfügbar*,944.75,47,2,1210
möblierte wohnung in toller lage **ruhelage** **inklusive tiefgaragenplatz**,1280,81,3,1200
wundervolle und sehr großzügige wohnung ** ruhige lage** **sofort beziehbar**,3577.13,190,6,1190
renovierte wohnung **tolle lage** **sofort verfügbar**,1100.04,60,2,1220
neubauwohnung i erstbezug i 3 zimmer,1181,71,3,1160
1190 wien-2 zimmer-wohnung - erstbezug nach sanierung - provisionsfrei,795,51,2,1190
3 zimmerwohnung mit 2 balkons,1099.41,72,3,1180
erstbezugs citywohnung mit hofseitiger terrasse,2185,113,3,1010
*jetzt 1 monat gratis miete sichern* erstbezug* hochwertig * 12m balkon/ terrasse *ic* lichtdurchflutet* top küche * 2-zimmer* zentrale lage* tiefgarage*,967.8399999999999,66,2,1210
"grünruhelage! wunderschöne, helle 3-zimmerwohnung mit loggia - vis a vis der pfarre hetzendorf gelegen!",869.7800000000001,73,3,1120
wunderbare 2-zimmer-wohnung mit balkon erstbezug in niedrigenergiehaus - in 1100 wien zu mieten,789,44,2,1100
orea | gemütliche 2-zimmer-wohnung | smart besichtigen online anmieten,699,43,2,1150
loftig: raum für entfaltung,1570,111,2,1130
generalsanierte 3-zimmer-wohnung nahe u6 floridsdorf,850,61,3,1210
* grünblick * absolute ruhelage * lichtdurchflutete 4-zimmer wohnung * erstbezug nach generalsanierung * zwei west-balkone * inklusive stellplatz im freien,1670.8899999999999,128,4,1170
inkl. abstellraum + 2 zimmer + südseitige loggia + 2. etage + 9.bezirk + akh + u6,899,62,2,1090
2-zimmer-neubauwohnung mit großer terrasse nahe u3 gasometer,930.55,48,2,1030
"1040 wien, seltenheit 4-zimmer-mietwohnung mit 4 terrassen",2802.34,146,NA,1040
erstbezug - neubau-apartment mit loggia in zentraler döblinger lage // first letting - modern apartment with balcony,1443.29,60,2,1190
schöne 3-zimmer-wohnung mit balkon,980,82,3,1160
wunderschöne dachterrassenwohnung mit traumhaftem wienblick - bei der laudongasse gelegen!,1944.4,103,4,1080
traumhafter altbau,3160.2799999999997,189,5,1040
+jetzt 1 monat gratis miete sichern+ erstbezug+ hochwertige +d+ 2-zimmer* zentrale lage+ top küche+ tiefgarage+,759.99,47,2,1210
"*jetzt 1 monat gratis miete sichern* dg-erstbezug* 3-zimmer* hell*grosse 15,88m -terasse* klima* innenhofruhelage *d* zentral* tiefgarage* top küche*",1681.45,104,3,1210
zentral begehbare dreizimmerwohnung - gestaffelte miete !!,990,68,3,1050
"großzügige, helle 4-zimmer wohnung mit moderner einbauküche & tollem balkon in sehr guter lage im 3. bezirk",2026.6799999999998,107,4,1030
2 zimmer wohnung im erdgeschoss (barrierefreier zugang),768,50,2,1180
360 tour // möblierte innenstadt - stilwohnung/ furnished classic style city apartment,4620,153,4,1010
"sonnige, unbefristete mietwohnung i wg-geeignet",930.7800000000001,86,4,1100
"währing: gut ist, was lange währt .... dg mit 2 terrassen und ganz viel platz",2969.54,172,4,1180
!! 2-zimmer+loggia+innenhoflage,999.61,52,2,1030
nahe stadtpark - design-altbau - erstbezug - perfekter grundriss - exklusiv saniert - alles neu! - 3. liftstock,2549.21,119,4,1010
360 tour //generalsanierte altbauwohnung im gepflegten stilhaus,2539.9900000000002,135,3,1010
1180 wien-3 zimmer-wohnung mit balkon,999.8599999999999,74,3,1180
1180-3 zimmer-wohnung mit balkon,1399.72,98,3,1180
erstbezug: großartige 3-zimmer-altbauwohnung nahe hofwiesengasse in 1130 wien zu mieten,1155.23,93,3,1130
orea | moderne 2-zimmer-wohnung mit guter u-bahn anbindung | smart besichtigen online anmieten,770,47,2,1220
perfekte 2 zimmerwohnung mit balkon und schönem blick auf wien,849.9399999999999,61,2,1180
"2-er wg taugliche, wunderschöne stilaltbauwohnung - nähe naschmarkt!",1095.45,84,2,1040
traumhafte dachgeschosswohnung mit wienblick - sehr gute 2 er wg eignung!,1147.96,92,2,1070
2 zimmer-wohnung in ruhiger seitenstraße nähe rudolfstiftung,817.21,49,2,1030
360 tour // möblierte gartenwohnung // furnished garden apartment,2494.4100000000003,94,4,1190
"hochwertiger erstbezug, stadtparknähe",2599.9900000000002,118,3,1030
"*jetzt 1 monat gratis miete sichern* 2-zimmer * erstbezug * balkon 7,21m * top küche * hochwertige * zentral * tiefgarage *",798.49,47,2,1210
+ 19. bezirk + zwei zimmer + grünlage + mit balkon,1293,75,2,1190
mietwohnung-wg-geeignet,1199,80,3,1190
extravagantes loft-apartment in architekturjuwel,3290,158,3,1070
4-zimmer-gartenwohnung in niedrigenergiehaus - erstbezug - zu mieten in 1100 wien,1499.21,81,4,1100
zur spinnerin: 2-zimmer-dg-wohnung mit balkon und terrasse erstbezug - in 1100 wien zu mieten,820.01,44,2,1100
erstbezug in niedrigenergiehaus: 2-zimmer-wohnung mit balkon - ab sofort in 1100 wien zu mieten,754,40,2,1100
