title,price,sqm,rooms,postcode,landlord
2-Zimmer-Wohnung nahe Westbahnhof Zinckgasse 9 - Top 7,682.67,46,2,1150,IMMOcontract Immobilien Vermittlung GmbH
PROVISIONSFREI! - Perfekt aufgeteilte Wohnung mit Freifläche - Nahe Donauinsel,1249,66,2,1200,ESTINA Immobilien GmbH
# ERSTBEZUG NACH SANIERUNG # 2 ZIMMER # PERFEKTE STADTWOHNUNG,1050,48,2,1010,DECUS Immobilien GmbH
| 3 ZIMMER | BALKON | WESTEN | ZWEITVERMIETUNG | AB APRIL BEZUGSFERTIG | TIEFGARAGE,1181.32,70,3,1210,DECUS Immobilien GmbH
| PROVISIONSFREI | ZWEITVERMIETUNG | 2 ZIMMER | GARTEN | AB APRIL VERFÜGBAR,764.62,41,2,1210,DECUS Immobilien GmbH
NEU! ++ TOP RENOVIERTE WOHNUNG mit Klopfbalkon in perfekter Zentrumslage nahe Stephansplatz - Miete in 1010 Wien++,2851.84,155,4,1010,TRISTAR Immobilien
SCHLOSSPARK HETZENDORF| 108 m² WOHNUNG | 2 ZIMMER | WOHNKÜCHE UND DACHZIMMER MIT KLIMAANLAGE |,1199.77,109,3,1120,DECUS Immobilien GmbH
Sehr schöne 1-Zimmerwohnung Nähe U-Bahn (U3),550,32,1,1150,ASW Immobilien Service & Consulting GmbH
"Klassische Altbau Wohnung 4,5 Zimmer Büro/Atelier möglich! ",1380,145,4,1030,IMMO AGENCY GmbH
PROVISIONSFREI! - Perfekt aufgeteilte Terrassenwohnung - Nahe Millenium City,799,38,2,1200,ESTINA Immobilien GmbH
"Erstbezug - Gemütliche 1,5 Zimmer-Wohnung mit perfektem Grundriss - Nähe Millenium City",749,36,1,1200,ESTINA Immobilien GmbH
Wohnen am Naschmarkt 2er WG geeignet,1058.67,88,2,1040,Normreal Immobilien GmbH
Günstige Single Wohnung in Ober St. Veit,276,32,1,1130,Privat
DIREKT AN DER BLAUEN DONAU - SO SCHÖN KANN DAS LEBEN WIE IM URLAUB SEIN,1199,42,2,1220,IMMOcontract Immobilien Vermittlung GmbH
Unbefristete 2 Zimmerwohnung Nahe U1 Kagranerplatz,688.62,66,2,1220,Steinhoff Immobilien Christian Steinhoff e.U.
Unbefristete 3 Zimmerwohnung Nahe U1 Kagranerplatz,802.58,77,3,1220,Steinhoff Immobilien Christian Steinhoff e.U.
2-Zimmer - Wohnung mit Balkon Degengasse 15/9,725.67,55,2,1160,IMMOcontract Immobilien Vermittlung GmbH
Luxuriose 2-Zimmer Terrassentraum zur Miete im 23. Bz inkl. Fitnessraum und Garagenplatz im Haus!,950,54,2,1230,Raiffeisen Immobilien Vermittlung Ges.m.b.H.
"HELLE 2-Zimmer Mietwohnung mit Loggia in Reinlgasse, straßenseitig!",702.52,41,2,1140,Raiffeisen Immobilien Vermittlung Ges.m.b.H.
Eßling: 3 ZI + Balkon + GrünRuhelage,900,72,3,1220,"DELTA Immobilien Verwaltungs-, Vermittlungs-, Verwertungsgesellschaft m.b.H"
"3-Zimmer, Loggia, Blick in Garten, Garage - provisionsfrei, 1130 Wien",1450,83,3,1130,Privat
CITYGATE - voll möbilierte 3-Zimmer-Wohnung mit atemberaubendem Ausblick / 74m2 Wohnfläche + 25m2 Balkon,1400,74,3,1210,Privat
Privat: Mietwohnung 44m2 1060 Nähe Mariahilferstraße/ Westbahnhof - Grünruhelage,597.3,44,1,1060,Privat
Nachmieter gesucht! Warmmiete & Provisionsfrei - Wohnung in Traumlage,897,60,2,1060,Privat
"Ruhige, unbefristete 42 m² Singlewohnung Nähe Radetzkyplatz",609.52,42,1,1030,"I.E.T. Immobilien, Dr. Veronika Gschwentner"
"unbefristete 1-Zimmer-Wohnung im 5. Liftstock, Nahe Rochusmarkt & Wien Mitte, 4 Min zur U3",659.12,39,1,1030,Brehm Immobilien GmbH
Familien Wohnung mit 4 Zimmer,980,108,3,1030,IMMO AGENCY GmbH
Gemütliche und ruhige Parterre-Wohnung mit Charme direkt zum Garten,650,37,2,1130,Privat
Gemeinde Wohnung direktvergabe,600,63,3,1200,Privat
Wunderschön sanierte & riesengroße 2-Zimmer Altbauwohnung nahe Prater - unbefristetes Mietverhältnis!,1090,75,2,1020,DFi - Immobilientreuhand & Financial Consulting GmbH
Sonnendurchflutete 2 Zimmerwohnung mit südseitigem Balkon! Pelletsheizung und Solaranlage im Haus!,890.34,51,2,1210,RAAB & Partner Immobilien Gesellschaft m.b.H.
IDEALE kleine 2 Zimmer Neubauwohnung - tolle Aufteilung - gleich bei U4 Friedensbrücke !!,699,38,2,1200,IMMO AGENCY GmbH
Ruhiger 50m² Altbau mit 2 Zimmern und Lift - 1070 Wien,542.34,50,2,1070,SITARZ & PARTNER IMMOBILIEN GMBH
Stilvoll sanierte Altbauwohnung in ruhiger Lage!,1587.67,118,NA,1040,"Fischer, Hörnisch Immobilien GmbH"
"Moderne Dachgeschosswohnung am ""Floridsdorfer Spitz"" zu vermieten!",708.4,33,1,1210,B2C Team Realtrade Immobilien Vermittlungs GmbH
"Moderne Dachgeschosswohnung am ""Floridsdorfer Spitz"" zu vermieten!",1064.8,48,2,1210,B2C Team Realtrade Immobilien Vermittlungs GmbH
"*JETZT 1 MONAT GRATIS MIETE SICHERN* UBahn, S-Bahn Nähe *D* 2-ZIMMER* ERSTBEZUG* 12m² BALKON/ TERRASSE* TOP KÜCHE* LICHTDURCHFLUTETE * HOCHWERTIGE* ZENTRALE LAGE* TIEFGARAGE*",956.9,66,2,1210,Posch Immobilien
Lakeside - 3-Zimmer-Wohnung mit Balkon,1192.29,85,3,1220,s REAL - Wien
Sonnige Hofruhelage im 9. Stock (Dachgeschoss mit Fernblick/Loggia) | ZELLMANN IMMOBILIEN,775.49,50,1,1190,ZELLMANN IMMOBILIEN
Musik-Universität: Sonniger Altbau-Erstbezug mit 3 getrennt begehbaren Zimmern,1490.23,114,3,1030,Elisabeth Rohr Real Estate
2 Zimmer Gemeindewohnung Direktvergabe,440,43,2,1200,Privat
Unbefristete 47m² EG-Wohnung mit 2 Zimmern Nähe Reumannplatz - 1100 Wien,530.61,47,2,1100,SITARZ & PARTNER IMMOBILIEN GMBH
Unbefristeter 51m² Altbau mit Einbauküche in Ruhelage - 1150 Wien,695,51,2,1150,SITARZ & PARTNER IMMOBILIEN GMBH
"Privat Vermietung, Nichtraucher, Single Wohnung, maximal 2 Personen",635,40,2,1220,Privat
"50qm Wohnung mit Balkon mit Blick ins Grüne, Proviosionsfrei, unbefristet",675,50,1,1120,Privat
Ruhige 34 m² Singlewohnung mit Balkon und wunderbarem Grünblick,638.52,34,1,1120,"I.E.T. Immobilien, Dr. Veronika Gschwentner"
Ruhige Maisonettewohnung im Innenhof nahe Schönbrunn zu vermieten,1498,96,3,1120,Privat
3-Zimmer Wohnung mit großer Terrasse,1150,62,3,1220,Privat
Helle Erstbezugswohnung mit Loggia im Wallensteinplatz Viertel,870,54,2,1200,Privat
"Moderne Dachgeschosswohnung am ""Floridsdorfer Spitz"" zu vermieten!",918.5,45,2,1210,B2C Team Realtrade Immobilien Vermittlungs GmbH
"Moderne Dachgeschosswohnung am ""Floridsdorfer Spitz"" zu vermieten!",1782,82,4,1210,B2C Team Realtrade Immobilien Vermittlungs GmbH
Erstbezug 1 Monat mietfrei!,1199.99,76,3,1110,Peschak Immobilien GmbH
Achtung NEUER Preis! Ruhige 3 Zimmer Wohnung + Loggia,759,65,3,1130,REALTRIA Immobilienentwicklungs & Beteiligungs GmbH
"neu sanierte, ruhige 2 Zimmerwohnung - inkl. Heizkosten",750,64,2,1120,FSR Immobilienvermarktungs- und -beteiligungsgesellschaft m.b.H.
"*JETZT 1 MONAT GRATIS MIETE SICHERN* U-Bahn, S-Bahn Nähe* 2-ZIMMER* ERSTBEZUG* BALKON 7,21m² *  TOP KÜCHE * HOCHWERTIG* ZENTRALE LAGE* TIEFGARAGE*",798.49,47,2,1210,Posch Immobilien
+ JETZT 1 MONAT GRATIS MIETE SICHERN + HOCHWERTIGER + ERSTBEZUG + 2-ZIMMER + ZENTRALE LAGE + TOP KÜCHE + TIEFGARAGE +,759.99,47,2,1210,Posch Immobilien
TERRASSE MIT AUSBLICK // 3 ZIMMER DG // HELL UND RUHIG!,990,60,3,1100,RIWOG Real Estate Management GmbH
Altbaujuwel in Jugendstilvilla,2746.74,156,4,1130,OTTO IMMOBILIEN GRUPPE
WG Zimmer in Student: innen Wohnung in Top Lage Wiens,455,15,NA,1050,Privat
DESIGN FURNISHED 2 BEDROOM APARTMENT // DESIGN MÖBLIERTES ALTBAU-APARTMENT,1490,72,3,1150,KALANDRA Immobilien
DESIGN FURNISHED ONE BEDROON CITY-APARTMENT // DESIGNMÖBLIERTES CITY-APARTMENT,1489.61,46,2,1090,KALANDRA Immobilien
DIREKTVERGABE sehr schöne 2-Zimmer Gemeindewohnung (reserviert),474,47,2,1100,Privat
Neuwaldegger Grünruhelage: sehr schöne 3 Zi.-Terrassenwohnung mit 2 Garagenplätzen,1450,94,3,1170,Volpini Immobilientreuhand
"Wunderschöne, helle Altbauwohnung, 3 getrennt begehbare Zimmer, separate Küche, 100m², nahe Matzleinsdorfer Platz",995,100,3,1100,Brehm Immobilien GmbH
"** 3 ZIMMER TRAUMWOHNUNG UM EUR 975,- GESAMTMIETE **",975,69,3,1160,Traumimmobilien.at
Dachgeschoß Loft mit 51 m2 zu vermieten! Nähe U3 Karl-Nagl-Platz!,949.5,51,2,1030,Immobilienquartier iQ OG
"PROVISIONSFREI! - ERSTBEZUG - Neubauprojekt - INNENHOF - UNBEFRISTETE Mietdauer - Ruhelage - Terrassen, Balkonen und Gärten - U2 in 10 Min erreichbar!",875,55,2,1220,Alexander Ringsmuth GmbH
"PROVISIONSFREI! - ERSTBEZUG - Neubauprojekt - INNENHOF - UNBEFRISTETE Mietdauer - Ruhelage - Terrassen, Balkonen und Gärten - U2 in 10 Min erreichbar!",799,46,2,1220,Alexander Ringsmuth GmbH
Gepflegte Loggia-Wohnung in zentraler Lage,750,70,2,1130,TRISTAR Immobilien
Space-Twins - modernstes Wohnen mit Balkon in U3-Nähe,756.91,41,2,1140,Gewerblicher Anbieter
Sonnige Aussichten - lichtdurchflutete zwei-Zimmer-Wohnung inkl.Garten!,1063.62,72,2,1140,Schantl ITH Immobilientreuhand GmbH
WILLKOMMEN IN OBERLAA AUF DEN SONNENSEITEN DES SÜDHANGS!,753.66,54,2,1100,Badura Immobilien GmbH
"Dachgeschoß, Neubau, eine Wohnküche/Schlafzimmer + Balkon",600,36,1,1100,IMMO AGENCY GmbH
ERSTBEZUG | Hochwertige Wohnungen mit Freifläche zu mieten!,1079,55,2,1200,EDEX Immobilien GmbH
ERSTBEZUG | Hochwertige Wohnungen mit Freifläche zu mieten!,879,46,2,1200,EDEX Immobilien GmbH
+ ABSOLUTE RUHELAGE + IM GRÜNEN + GROSSER BALKON + NIEDRINGENERGIEHAUS + SÜDOSTSEITIG + NEUWERTIG,792.37,47,2,1220,DECUS Immobilien GmbH
2-Zimmer-Maisonette-Wohnung in Top-Lage! Kalvarienbergerstraße 1g,1034,74,3,1190,IMMOcontract Immobilien Vermittlung GmbH
160 m² LOFTARTIGES ATELIER +150 m³ Garten +100 m² Innenhof,1692,160,NA,1020,Immoexpress KG
"DACHGESCHOSS Wohnung - ideal für Studenten, berufstätige Singles oder Paare - Sofortbezug",849,71,2,1140,Gewerblicher Anbieter
Commission free! 2 room flat with a fantastic view of the New Danube,1554,46,2,1220,ESTINA Immobilien GmbH
Commission free! 2 room flat in DC Residential with a view of the New Danube,1448,42,2,1220,ESTINA Immobilien GmbH
Wohnung mit Donaublick - MARINA TOWER,1965.21,74,3,1020,IES Immobilien- Projektentwicklung GmbH
Idealer Grundriss für provisionsfreie 2-Zimmer-Wohnung: Inkl. Kochnische und Abstellraum dahinter!,1048.99,61,2,1210,OPTIN Immobilien GmbH
Penthouse mit großer Dachterrasse und Tiefgarage,1950,109,3,1220,Stubenvoll Immobilien
RIVOLO 23: Erstklassige 2-Zimmer Wohnung mit Balkon in 1230 Wien zu mieten,908,48,2,1230,ÖRAG Immobilien Vermittlung GmbH
Garconniere in Ruhelage Seidlgasse 7 - Top 6. Miete ohne Garage EUR 471 + Energie,627,35,1,1030,IMMOcontract Immobilien Vermittlung GmbH
Ab Mai | 2-Zimmer-Neubauwohnung | Nahe U4 Friedensbrücke (WE20210),699,40,2,1200,Mamont GmbH
PERFEKT:3 Zimmerappartement,960,78,3,1140,Privat
ALTE DONAU NÄHE PROVISIONSFREIE SINGLEGROSSGARCONIERE MIT LOGGIA UND KÜCHE HAUPTMIETE UNBEFRISTET,685,60,1,1220,Immobilien Rupert Graser
Provisionsfrei* -3 Zimmer - Balkonwohnung mit Einbauküche,1065.34,67,3,1180,MCR Immobilien e.U.
"2-Zimmer-Wohnung mit Loggia, Gemeinschaftsterrasse & Fitnessraum",799.28,47,2,1050,s REAL - Wien
Luxuriöses Apartment - möbliert,18354.55,421,8,1010,Avantgarde Properties GmbH
"schöne, klimatisierte, großzügige DG-Wohnung (2 Zi.) mit Terrasse in Nußdorf",1190,66,2,1190,Mittelsmann Philipp Sulek GmbH
NEUSANIERTE UNBEFRISTET 3 ZIMMERWOHNUNG,955.48,74,3,1050,RT IMMOBILIEN Buchwieser&Toth GmbH
Erstbezug - schicke Wohnung mit möglicher Büronutzung in Traumlage/Nähe U3,2775.25,94,2,1010,Mag. Andrea Jäger
ÜBER DEN DÄCHERN VON WIEN - 3-ZIMMER MIT LOGGIA,897.27,87,3,1120,s REAL - Wien
2 Separate Schlafzimmer - gemütliche Terrasse mit Grünfläche im Innenhof,1295,65,3,1180,Mittelsmann Philipp Sulek GmbH
GARTENWOHNUNG IN TOP AUSSTATTUNG - U1 OBERLAA,830,44,2,1100,IMMOBILIEN Sabine Klein e.U.
1190 Wien - 2 Zimmer Wohnung,799.21,58,2,1190,s REAL - Wien
"Duplex Wohnung, Großzügig Zentral 4 Zimmer + Terrasse",3100,183,4,1020,IMMO AGENCY GmbH
HIGHEND LIVING IN GRÜNER BESTLAGE -TERRASSENWOHNTRAUM IM DACHGESCHOSS,2358.54,88,3,1190,Tom Krauss Immo GmbH
Provisionsfrei-3-Zimmerwohnung in Meidling! Albrechtsbergerg.37w5. Miete ohne Garage EUR 1.089+Energie,1089.71,75,3,1120,IMMOcontract Immobilien Vermittlung GmbH
ELTERLEINPLATZ HAUPTMIETE UNBEFRISTET MIT WG-EIGNUNG DACHGESCHOSS,877,85,3,1170,Immobilien Rupert Graser
"OBERLAA-RUHELAGE, 1100 Wien, 2 Zimmer, 47m²",750,47,2,1100,Privat
"Sanierte Altbauwohnung,",1108.55,104,4,1120,Reich & Redl Immobilien Consulting GmbH
Neubauwohnung Erstbezug nach Fertigstellung.,921.76,55,2,1210,Reich & Redl Immobilien Consulting GmbH
ERSTBEZUG - helle 3 Zimmerwohnung in Toplage,1199.14,88,3,1130,JP Immobilien
Dachgeschoss: großzügige 2 Zimmer nähe Schottenring in 1010 Wien zu mieten,1468.42,82,2,1010,ÖRAG Immobilien Vermittlung GmbH
1-Zimmer-Terrassenwohnung = nahe Tokiostraße und Donauzentrum = U1,730.69,54,1,1220,Immoexpress KG
4167 - Charmante Garconniere INKL. Heizung,506.94,25,1,1130,Birnleitner Immobilien GmbH
360° TOUR // CHARMING DESIGN-FURNISHED APARTMENT // DESIGN-MÖBLIERTE STILWOHNUNG,1679.7,40,2,1090,KALANDRA Immobilien
360 TOUR // NEUBAUMIETE mit BALKON,780,47,2,1140,KALANDRA Immobilien
| 2 ZIMMER | SEPARATE KÜCHE | GRÜNBLICK | PENZING | AB SOFORT | RUHELAGE | DURCHDACHTER GRUNDRISS,888.95,53,2,1140,DECUS Immobilien GmbH
*** ERSTBEZUG *** POOL *** TRIPPLE TOWER *** WOHN-LUXUS AUF HÖCHSTEM NIVEAU ***,892,57,2,1030,TREND Immobilien
"Sanierte, ruhige Dachgeschosswohnung mit Terrasse - inkl. neuwertige Küche",749.99,57,2,1100,FSR Immobilienvermarktungs- und -beteiligungsgesellschaft m.b.H.
Balkon-Ruhelage in Döbling,1435.2,85,4,1190,Immobilien Köszali  Beraten  Bewerten  Vermitteln
"1230, 3-Zimmer-Wohnung mit Loggia & Garage: Hier können Sie urbane Lebensqualität in der Nähe Mauer genießen!",866.4,59,3,1230,APF Interfinance Beratungs GmbH&Co KG
"1190 Wien, Loftwohnung",1028.39,72,1,1190,s REAL - Wien
Nahe Stadtpark - Design-Altbau - Erstbezug - perfekter Grundriss - exklusiv saniert - alles neu! - 3. Liftstock,2549.21,119,4,1010,s REAL - Wien
"SEHR GUT GELEGENE, NETTE 2 ZIMMER-WOHNUNG MIT 2 LOGGIEN, GARTENBENÜTZUNG UND GARAGE",898.9,64,2,1180,RT IMMOBILIEN Buchwieser&Toth GmbH
/ 2 ZIMMER / BALKON /ZENTRAL BEGEHBAR / VERFÜGBAR AB 1.02.2023,936.9,60,2,1060,DECUS Immobilien GmbH
"NÄHE U2 Stadlau - TRAUMHAFTE DACHTERRASSE mit 65m² - Erholungsgebiet ""Alte Donau"" - Küche & PKW Stellplatz inklusive",1249.01,68,3,1220,teamneunzehn-Gruppe
STILVOLLER WOHNGENUSS - VIELE EXTRAS ZUM WOHLFÜHLEN - LOGGIA - INKLUSIVE KÜCHE,683.29,46,2,1210,teamneunzehn-Gruppe
"Miete inklusive (Strom, Heizung, Internet, Warmwasser und Möbel)",699,20,1,1230,Vetus International GmbH
Helle 3 Zimmerwohnung in Ruhelage nächst AKH und Kreuzgasse!,1018,65,3,1180,IMV Makler GmbH
Wien - 1200 Wien - Nähe Donauinsel - U6-Nähe Handelskai - Sonnige Neubauwohnung,659,40,2,1200,C&P Immobilien AG
Baujahr 2018! Möbliertes 2-Zimmer Apartment mit Loggia,980,61,2,1100,s REAL - Wien
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",1550.02,101,4,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",1374.51,94,4,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",1315.94,91,4,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",1346.22,94,4,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",968.32,71,3,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",1058.32,77,3,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",773.31,56,2,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",1111.09,74,3,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",838.92,60,2,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",973.32,71,3,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",958.32,71,3,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",773.32,56,2,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",828.33,59,2,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",746.42,57,2,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",786.41,57,2,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
"WOHNHAUS ""DER BALLON"" PROVISIONSFREI",993.31,72,3,1220,ARWAG Immobilientreuhand Gesellschaft m.b.H.
Wohnen mit Lebensqualität - 2-Zimmer-Balkonwohnung mit Weitblick! - teilmöbliert,790,43,2,1220,IFIN Immobilien GmbH
Wohnen im Erholungsgebiet Wienerberg - 25m² große Terrasse mit Blick ins Grüne,941.98,58,2,1100,EP Immobilientreuhand
WOHNEN ÜBER DEN WOLKEN WIENS | 3 ZIMMER | ERSTBEZUG,1587.02,84,3,1030,RE/MAX First
Ab März | Schöne 3-Zimmer-Altbauwohnung mit moderner Ausstattung (PO33LI46T10),1545,99,3,1090,Immobiliaris GmbH
CO-LIVING 1070 - die neue Art der Wohngemeinschaft!,599.01,37,1,1070,Accenta Immobilien e.U.
2 ZIMMERWOHNUNG MIT SÜD-LOGGIA NÄHE MATZNERPARK!,648,42,2,1140,Realtip Immobilientreuhand GmbH
Erstbezug nach Sanierung - 3 Zimmer Wohnung nächst Kaisermühlendamm,966.92,70,3,1220,IMV Makler GmbH
Schöne 3-Zimmer-Wohnung mit Balkon,980,82,3,1160,s REAL - Wien
Möblierte Wohnung - Koffer packen und einziehen!,790,42,2,1060,ESTINA Immobilien GmbH
charmante 3 Zimmer Wohnung mit praktischem Grundriss und perfekter Lage nähe Heiligenstadt!,1050,71,3,1190,Mittelsmann Philipp Sulek GmbH
heimelige 2-ZI-Miete in zentraler Lage,890,55,2,1030,Metz Real Estate
| ERSTBEZUG | NEUBAU | HELIO TOWER | 1. MONAT MIETZINSFREI | 2-ZIMMER | BALKON | SÜDSEITIG | NAHE U3,929,50,2,1030,DECUS Immobilien GmbH
| 1. MONAT MIETZINSFREI | FREIFLÄCHE | 22. OG | BLICK ÜBER WIEN | NAHE U3 GASOMETER | 2-ZIMMER,949,49,2,1030,DECUS Immobilien GmbH
"* LUXUSWOHNUNG * 5.OG * GRÜNBLICK* NEUWERTIG * D* Pool, Wellness-Sauna-Fitness * Kino * Weinkeller* Tiefgarage *",1624.94,66,2,1190,Posch Immobilien
Schicke Dachwohnung mit Terrasse und Loggia in revitalisiertem Stilatlbau!,802.67,46,2,1140,TICON Immobilienservice
SONNIGE 2-ZIMMER WOHNUNG MIT BALKON NÄHE U1! - Schleiergasse 2,780,46,2,1100,Piment Immobilien & Investment GmbH
Sonniger Altbau in U1 Nähe,449.01,43,2,1100,Agnes Kavalir Immobilien
***VORKAUFSRECHT - EIGENGARTEN MIT TERRASSE - ERSTBEZUG IN GRÜNRUHELAGE***,1480,52,2,1190,Dr. Vospernik Immobilien
Leben Sie lieber außergewöhnlich! Einzigartige 3-Zimmer-Wohnung mit großartigem Fernblick im 8. Liftstock im Gasometer B,999,90,3,1110,KT FINE LIVING GmbH
WOHNTRAUM - EXKLUSIVE 2-ZIMMER WOHNUNG MIT GARTEN UND TERRASSE - NAHE BADETEICH HIRSCHTETTEN,999,66,2,1220,teamneunzehn-Gruppe
2-ZIMMER WOHNUNG | PLUS WOHNKÜCHE | NÄHE KEPLERPLATZ,695,73,2,1100,BESSERMAKLER Immobilien KG
3-Zimmer Wohnung in RUHELAGE des 18.Bezirks! Pötzleinsdorf! Ideale Raumaufteilung! Jetzt anfragen!,1098.91,72,3,1180,teamneunzehn-Gruppe
SANIERTER ALTBAU NAHE SCHÖNBRUNN - WUNDERBARE 5-ZIMMER WOHNUNG - GROSSZÜGIGE FREIFLÄCHEN - JETZT ZUSCHLAGEN,2349.93,164,5,1130,teamneunzehn-Gruppe
AB SOFORT VERFÜGBAR - 1 ZIMMER WOHNUNG INKL. MÖBLIERTE KÜCHE - NAHE AUGARTEN - JETZT ZUSCHLAGEN,549,36,1,1200,teamneunzehn-Gruppe
"Helle 2-Zimmer Wohnung, Nähe Währinger Schubertpark",712.49,46,2,1180,LIFESTYLE PROPERTIES
SONNIGE DG-WOHNUNG MIT TERRASSE!,888,42,2,1140,Piment Immobilien & Investment GmbH
Moderne 2-Zimmer-Wohnung mit Loggia ins Grüne nähe Schloss Hetzendorf,793.41,45,2,1120,CHALUPA IMMOBILIEN SERVICES GMBH
Tolle kleine Dachgeschoss Wohnung mit großer Terrasse,1895,92,2,1050,AUSTRIA Real GmbH
DACHGESCHOSS-TRAUMWOHNUNG IN DONAU-NÄHE! AB SOFORT VERFÜGBAR!,1141.94,88,3,1210,teamneunzehn-Gruppe
3-ZIMMER WOHNUNG MIT LOGGIA IN DER WOHNHAUSANLAGE SCHLEIERGASSE,990,68,3,1100,Piment Immobilien & Investment GmbH
WUNDERBARE 2-ZIMMER WOHNUNG NAHE SCHÖNBRUNN! JETZT ZUSCHLAGEN!,649.5,35,2,1140,teamneunzehn-Gruppe
++ ERSTBEZUG ++ TOP NEUBAUPROJEKT in gut angebundener Lage,875,47,2,1160,EHL Immobilien GmbH
AM DONAUKAI - EIN WOHNJUWEL AM WASSER - PROVISIONSFREIER NEUBAUTRAUM,825,42,2,1200,teamneunzehn-Gruppe
2-Zimmer Dachgeschosswohnung mit 2 Terrassen,999.51,57,NA,1030,s REAL - Wien
